,Number Of Vertices,Number Of Edges,Max Degree,Min Degree,Max Clique,Max IS
co-X84,,,,,,
co-X85,,,,,,
co-X86,,,,,,
co-X87,,,,,,
co-X88,,,,,,
co-X89,,,,,,
co-X9,,,,,,
co-X90,,,,,,
co-X91,,,,,,
co-X92,,,,,,
co-X93,,,,,,
co-X94,,,,,,
co-X95,,,,,,
co-X96,,,,,,
co-X97,,,,,,
co-X98,,,,,,
co-X99,,,,,,
cricket,,,,,,
cross,,,,,,
dart,,,,,,
diamond,,,,,,
domino,,,,,,
E,,,,,,
eiffel,,,,,,
fish,,,,,,
fork,,,,,,
gem,,,,,,
gemUK1,,,,,,
H,,,,,,
house,,,,,,
K14,,,,,,
K23,,,,,,
K2Uclaw,,,,,,
K33-e,,,,,,
K33,,,,,,
K33e,,,,,,
K33UK1,,,,,,
K3U2K1,,,,,,
K3UP3,,,,,,
K4,,,,,,
K4UK1,,,,,,
K5-e,,,,,,
K5,,,,,,
kite,,,,,,
kiteUK1,,,,,,
longhorn,,,,,,
net,,,,,,
netUK1,,,,,,
P,,,,,,
P2UP3,,,,,,
P2UP4,,,,,,
P3U2K1,,,,,,
P3UP4,,,,,,
P7,,,,,,
parachute,,,,,,
parapluie,,,,,,
paw,,,,,,
R,,,,,,
risingsun,,,,,,
S3,,,,,,
S3UK1,,,,,,
S4,,,,,,
skewstar,,,,,,
sunlet4,,,,,,
T2,,,,,,
T3,,,,,,
triangle,,,,,,
twin-house,,,,,,
twinC5,,,,,,
W4,,,,,,
W4UK1,,,,,,
W5,,,,,,
W6,,,,,,
X1,,,,,,
X10,,,,,,
X100,,,,,,
X101,,,,,,
X102,,,,,,
X103,,,,,,
X104,,,,,,
X105,,,,,,
X106,,,,,,
X107,,,,,,
X108,,,,,,
X109,,,,,,
X11,,,,,,
X110,,,,,,
X111,,,,,,
X112,,,,,,
X113,,,,,,
X114,,,,,,
X115,,,,,,
X116,,,,,,
X117,,,,,,
X118,,,,,,
X119,,,,,,
X12,,,,,,
X120,,,,,,
X121,,,,,,
X122,,,,,,
X123,,,,,,
X124,,,,,,
X125,,,,,,
X126,,,,,,
X127,,,,,,
X128,,,,,,
X129,,,,,,
X13,,,,,,
X130,,,,,,
X131,,,,,,
X132,,,,,,
X133,,,,,,
X134,,,,,,
X135,,,,,,
X136,,,,,,
X137,,,,,,
X138,,,,,,
X139,,,,,,
X14,,,,,,
X140,,,,,,
X141,,,,,,
X142,,,,,,
X143,,,,,,
X144,,,,,,
X145,,,,,,
X146,,,,,,
X147,,,,,,
X148,,,,,,
X149,,,,,,
X15,,,,,,
X150,,,,,,
X151,,,,,,
X152,,,,,,
X153,,,,,,
X154,,,,,,
X155,,,,,,
X156,,,,,,
X157,,,,,,
X158,,,,,,
X159,,,,,,
X160,,,,,,
X161,,,,,,
X162,,,,,,
X163,,,,,,
X164,,,,,,
X165,,,,,,
X166,,,,,,
X167,,,,,,
X168,,,,,,
X169,,,,,,
X17,,,,,,
X170,,,,,,
X171,,,,,,
X172,,,,,,
X173,,,,,,
X174,,,,,,
X175,,,,,,
X176,,,,,,
X177,,,,,,
X178,,,,,,
X179,,,,,,
X18,,,,,,
X180,,,,,,
X181,,,,,,
X182,,,,,,
X183,,,,,,
X184,,,,,,
X185,,,,,,
X186,,,,,,
X187,,,,,,
X188,,,,,,
X189,,,,,,
X19,,,,,,
X190,,,,,,
X191,,,,,,
X192,,,,,,
X193,,,,,,
X194,,,,,,
X195,,,,,,
X196,,,,,,
X197,,,,,,
X198,,,,,,
X199,,,,,,
X2,,,,,,
X20,,,,,,
X200,,,,,,
X201,,,,,,
X202,,,,,,
X203,,,,,,
X204,,,,,,
X205,,,,,,
X206,,,,,,
X207,,,,,,
X208,,,,,,
X21,,,,,,
X22,,,,,,
X23,,,,,,
X24,,,,,,
X25,,,,,,
X26,,,,,,
X27,,,,,,
X28,,,,,,
X29,,,,,,
X3,,,,,,
X30,,,,,,
X31,,,,,,
X32,,,,,,
X33,,,,,,
X34,,,,,,
X35,,,,,,
X36,,,,,,
X37,,,,,,
X38,,,,,,
X39,,,,,,
X4,,,,,,
X40,,,,,,
X41,,,,,,
X42,,,,,,
X43,,,,,,
X44,,,,,,
X45,,,,,,
X46,,,,,,
X47,,,,,,
X48,,,,,,
X49,,,,,,
X5,,,,,,
X50,,,,,,
X51,,,,,,
X52,,,,,,
X53,,,,,,
X54,,,,,,
X55,,,,,,
X56,,,,,,
X57,,,,,,
X58,,,,,,
X59,,,,,,
X6,,,,,,
X7,,,,,,
X70,,,,,,
X71,,,,,,
X72,,,,,,
X73,,,,,,
X74,,,,,,
X75,,,,,,
X76,,,,,,
X77,,,,,,
X79,,,,,,
X8,,,,,,
X80,,,,,,
X81,,,,,,
X82,,,,,,
X83,,,,,,
X84,,,,,,
X85,,,,,,
X86,,,,,,
X87,,,,,,
X88,,,,,,
X89,,,,,,
X9,,,,,,
X90,,,,,,
X91,,,,,,
X92,,,,,,
X93,,,,,,
X94,,,,,,
X95,,,,,,
X96,,,,,,
X97,,,,,,
X98,,,,,,
X99,,,,,,
XC1,,,,,,
XC10,,,,,,
XC11,,,,,,
XC12,,,,,,
XC13,,,,,,
XC2,,,,,,
XC3,,,,,,
XC4,,,,,,
XC5,,,,,,
XC6,,,,,,
XC7,,,,,,
XC8,,,,,,
XC9,,,,,,
